cps_year,mcaid_mean,mcaid_median,mcaid_total_recipients,mcaid_total_dollars,snap_mean,snap_median,snap_total_recipients,snap_total_dollars,ssi_mean,ssi_median,ssi_total_recipients,ssi_total_dollars,housing_assist_mean,housing_assist_median,housing_assist_total_recipients,housing_assist_total_dollars
1980,610.63,541.00,20035720,12234345615,791.73,589.00,8986573,7114975679,1440.40,412.00,4621530,6656852070,1332.18,1387.00,2600783,3464707562
1981,694.27,562.00,20157468,13994799722,880.78,686.00,10257415,9034562819,1621.46,469.00,4623022,7496052857,1651.39,1713.00,2782953,4595737297
1982,781.60,607.00,20317866,15880536907,985.42,783.00,11129580,10967334299,1799.31,530.00,4495571,8088938861,2000.71,2081.00,2899814,5801693157
1983,845.70,637.00,20058449,16963426378,989.16,801.00,10488763,10375062784,1965.75,583.00,4277980,8409419868,2226.68,2301.00,3163727,7044599903
1984,924.79,694.00,19986109,18482978942,1098.44,889.00,10120118,11116337422,2048.95,618.00,4350576,8914100594,2557.02,2607.00,3270826,8363568279
1985,971.92,664.00,20110955,19546164852,1108.43,900.00,9626589,10670352991,2175.21,666.00,4488556,9763570385,2546.58,2603.00,3610719,9194978276
1986,1065.08,706.00,20426643,21756035407,1146.87,956.00,9333117,10703865953,2256.33,711.00,4606007,10392670545,2658.29,2711.00,3854810,10247206804
1987,1145.84,735.00,21089473,24165159425,1166.35,942.00,9079118,10589399879,2388.62,782.00,4747776,11340625052,2705.57,2763.00,3808973,10305437577
1988,1248.75,833.00,21437046,26769602944,1218.50,990.00,8727906,10634959494,2490.50,840.00,4888447,12174660267,2630.31,2659.00,4041104,10629374479
1989,1371.01,908.00,21443030,29398660901,1273.18,990.00,8847272,11264195565,2598.13,896.00,4978129,12933818829,2902.22,2915.00,4129466,11984615358
1990,1531.29,1040.00,22325947,34187406381,1325.37,1063.00,9255298,12266676429,2748.32,1198.00,5121300,14074967914,3247.56,3222.00,4109323,13345287415
1991,1726.71,1190.00,24330124,42010989086,1462.81,1196.00,10075552,14738606053,2900.68,1519.00,5377936,15599643405,3389.89,3360.00,4383641,14860077038
1992,1892.89,938.00,27105656,51308131099,1594.22,1260.00,11487767,18314028769,3149.19,2069.00,5701541,17955222989,3585.04,3441.00,4545668,16296380852
1993,2046.46,1012.00,30000541,61394961786,1653.49,1372.00,12863510,21269740995,3474.37,2664.00,6207027,21565529048,3960.16,3820.00,4522447,17909593272
1994,2143.93,1042.00,32091185,68801119320,1630.90,1344.00,13640622,22246514547,3577.86,3521.00,6681683,23906107963,3837.01,3722.00,5218912,20025032305
1995,2228.22,1057.00,33572138,74806240614,1715.79,1392.00,13343322,22894272974,3569.35,3882.00,7029810,25091872801,4448.42,4036.00,4968349,22101281443
1996,2355.96,1080.00,34454587,81173484649,1765.84,1404.00,12798339,22599797107,3713.75,4303.00,7276947,27024750807,4973.83,4521.00,4848849,24117355101
1997,2430.98,1105.00,34107065,82913546241,1768.56,1440.00,12455982,22029125645,3829.76,4706.00,7375546,28246553642,4722.11,4255.00,4988946,23558361165
1998,2562.54,1152.00,34470161,88331292729,1733.43,1428.00,10795388,18713053652,3922.01,4646.00,7235548,28377909990,5016.82,4429.00,4778254,23971657649
1999,2650.74,1257.00,39407330,104458437245,1730.17,1427.00,9558241,16537361571,4010.84,5123.00,7327931,29391167504,4836.02,4448.00,4815573,23288203142
